170, 490, (0, 85, 255)
170, 410, (255, 255, 255)
170, 330, (255, 255, 255)
90, 330, (255, 255, 255)
10, 330, (255, 255, 255)
10, 250, (255, 255, 255)
10, 170, (251, 86, 91)
90, 170, (255, 255, 255)
170, 170, (255, 255, 255)
170, 90, (255, 255, 255)
170, 10, (255, 255, 255)
250, 10, (255, 255, 255)
330, 10, (98, 253, 94)
330, 90, (255, 255, 255)
330, 170, (255, 255, 255)
410, 170, (255, 255, 255)
490, 170, (255, 255, 255)
490, 250, (255, 255, 255)
490, 330, (252, 255, 64)
410, 330, (255, 255, 255)
330, 330, (255, 255, 255)
330, 410, (255, 255, 255)
330, 490, (255, 255, 255)
250, 490, (255, 255, 255)
250, 410, (0, 85, 255)
90, 250, (251, 86, 91)
250, 90, (98, 253, 94)
410, 250, (252, 255, 64)
10, 490, (0, 85, 255)
10, 10, (251, 86, 91)
490, 10, (98, 253, 94)
490, 490, (252, 255, 64)
